,A,B,gates,depth,2-gates,Gates
214,35,419,581,396,106,"Counter({'sx': 247, 'rz': 202, 'cz': 106, 'x': 22, 'measure': 4})"
215,35,420,570,405,108,"Counter({'sx': 243, 'rz': 195, 'cz': 108, 'x': 20, 'measure': 4})"
216,35,421,566,400,108,"Counter({'sx': 243, 'rz': 191, 'cz': 108, 'x': 20, 'measure': 4})"
217,35,424,576,397,106,"Counter({'sx': 247, 'rz': 198, 'cz': 106, 'x': 21, 'measure': 4})"
218,35,425,568,408,110,"Counter({'sx': 242, 'rz': 191, 'cz': 110, 'x': 21, 'measure': 4})"
219,35,426,569,402,108,"Counter({'sx': 243, 'rz': 193, 'cz': 108, 'x': 21, 'measure': 4})"
220,35,428,566,404,110,"Counter({'sx': 242, 'rz': 188, 'cz': 110, 'x': 22, 'measure': 4})"
221,35,435,583,395,106,"Counter({'sx': 247, 'rz': 203, 'cz': 106, 'x': 23, 'measure': 4})"
222,36,37,571,394,106,"Counter({'sx': 249, 'rz': 194, 'cz': 106, 'x': 18, 'measure': 4})"
223,36,50,557,398,110,"Counter({'sx': 241, 'rz': 183, 'cz': 110, 'x': 19, 'measure': 4})"
224,36,53,559,399,108,"Counter({'sx': 242, 'rz': 186, 'cz': 108, 'x': 19, 'measure': 4})"
225,36,55,573,392,106,"Counter({'sx': 249, 'rz': 195, 'cz': 106, 'x': 19, 'measure': 4})"
226,36,57,558,398,110,"Counter({'sx': 241, 'rz': 183, 'cz': 110, 'x': 20, 'measure': 4})"
227,36,59,581,398,108,"Counter({'sx': 252, 'rz': 198, 'cz': 108, 'x': 19, 'measure': 4})"
228,36,63,558,398,110,"Counter({'sx': 241, 'rz': 184, 'cz': 110, 'x': 19, 'measure': 4})"
229,36,67,558,393,108,"Counter({'sx': 242, 'rz': 183, 'cz': 108, 'x': 21, 'measure': 4})"
230,36,69,558,394,108,"Counter({'sx': 242, 'rz': 185, 'cz': 108, 'x': 19, 'measure': 4})"
231,36,74,559,400,110,"Counter({'sx': 241, 'rz': 186, 'cz': 110, 'x': 18, 'measure': 4})"
