,A,B,gates,depth,2-gates,RZ,SX,CZ
1185,83,404,554,404,108,185,251,108
1186,83,406,556,402,106,188,251,106
1187,83,411,554,404,108,185,251,108
1188,83,416,557,403,106,190,251,106
1189,83,419,556,404,106,189,251,106
1190,83,420,555,407,108,185,251,108
1191,83,421,554,409,110,183,250,110
1192,83,424,560,406,106,192,251,106
1193,83,425,554,406,108,186,250,108
1194,83,426,554,405,108,184,251,108
1195,83,428,550,405,110,180,250,110
1196,83,435,555,406,108,186,251,108
1197,84,85,546,396,106,179,251,106
1198,84,93,548,396,106,181,251,106
1199,84,98,557,407,110,185,250,110
1200,84,99,550,400,106,183,251,106
1201,84,104,551,401,110,180,250,110
1202,84,106,550,398,106,183,251,106
1203,84,107,549,400,108,180,251,108
1204,84,109,557,405,108,188,250,108
1205,84,113,548,400,108,179,251,108
1206,84,114,551,399,106,184,251,106
1207,84,115,554,400,106,186,251,106
1208,84,117,547,400,110,176,250,110
1209,84,165,554,405,110,182,250,110
1210,84,166,555,405,110,183,250,110
1211,84,198,550,401,108,180,251,108
1212,84,199,549,401,110,177,250,110
1213,84,233,553,400,106,185,251,106
1214,84,234,548,399,108,179,251,108
1215,84,240,551,401,108,182,251,108
1216,84,241,559,410,110,188,250,110
1217,84,249,559,404,108,189,250,108
1218,84,251,554,406,110,182,250,110
