,A,B,gates,depth,2-gates,Gates
196,35,325,546,400,110,"Counter({'sx': 250, 'rz': 177, 'cz': 110, 'x': 5, 'measure': 4})"
197,35,334,550,404,110,"Counter({'sx': 250, 'rz': 180, 'cz': 110, 'x': 6, 'measure': 4})"
198,35,335,550,402,108,"Counter({'sx': 251, 'rz': 181, 'cz': 108, 'x': 6, 'measure': 4})"
199,35,336,554,402,106,"Counter({'sx': 251, 'rz': 187, 'cz': 106, 'x': 6, 'measure': 4})"
200,35,337,547,398,108,"Counter({'sx': 251, 'rz': 179, 'cz': 108, 'x': 5, 'measure': 4})"
201,35,342,550,398,106,"Counter({'sx': 251, 'rz': 183, 'cz': 106, 'x': 6, 'measure': 4})"
202,35,345,546,399,108,"Counter({'sx': 251, 'rz': 177, 'cz': 108, 'x': 6, 'measure': 4})"
203,35,346,556,404,108,"Counter({'sx': 250, 'rz': 188, 'cz': 108, 'x': 6, 'measure': 4})"
204,35,351,554,400,106,"Counter({'sx': 251, 'rz': 187, 'cz': 106, 'x': 6, 'measure': 4})"
205,35,353,547,398,108,"Counter({'sx': 251, 'rz': 179, 'cz': 108, 'x': 5, 'measure': 4})"
206,35,354,550,400,106,"Counter({'sx': 251, 'rz': 184, 'cz': 106, 'x': 5, 'measure': 4})"
207,35,365,549,403,110,"Counter({'sx': 250, 'rz': 179, 'cz': 110, 'x': 6, 'measure': 4})"
208,35,380,547,401,108,"Counter({'sx': 251, 'rz': 179, 'cz': 108, 'x': 5, 'measure': 4})"
209,35,383,548,397,106,"Counter({'sx': 251, 'rz': 182, 'cz': 106, 'x': 5, 'measure': 4})"
210,35,404,546,399,110,"Counter({'sx': 250, 'rz': 177, 'cz': 110, 'x': 5, 'measure': 4})"
211,35,406,546,394,106,"Counter({'sx': 251, 'rz': 179, 'cz': 106, 'x': 6, 'measure': 4})"
212,35,411,544,396,108,"Counter({'sx': 251, 'rz': 176, 'cz': 108, 'x': 5, 'measure': 4})"
213,35,416,549,397,106,"Counter({'sx': 251, 'rz': 183, 'cz': 106, 'x': 5, 'measure': 4})"
214,35,419,550,401,108,"Counter({'sx': 250, 'rz': 183, 'cz': 108, 'x': 5, 'measure': 4})"
215,35,420,547,401,108,"Counter({'sx': 251, 'rz': 178, 'cz': 108, 'x': 6, 'measure': 4})"
216,35,421,547,401,108,"Counter({'sx': 251, 'rz': 178, 'cz': 108, 'x': 6, 'measure': 4})"
217,35,424,546,400,108,"Counter({'sx': 251, 'rz': 177, 'cz': 108, 'x': 6, 'measure': 4})"
218,35,425,543,397,108,"Counter({'sx': 251, 'rz': 175, 'cz': 108, 'x': 5, 'measure': 4})"
219,35,426,552,399,106,"Counter({'sx': 251, 'rz': 185, 'cz': 106, 'x': 6, 'measure': 4})"
220,35,428,542,395,106,"Counter({'sx': 251, 'rz': 176, 'cz': 106, 'x': 5, 'measure': 4})"
221,35,435,549,402,108,"Counter({'sx': 251, 'rz': 181, 'cz': 108, 'x': 5, 'measure': 4})"
222,36,37,547,396,106,"Counter({'sx': 251, 'rz': 181, 'cz': 106, 'x': 5, 'measure': 4})"
223,36,50,547,400,108,"Counter({'sx': 250, 'rz': 179, 'cz': 108, 'x': 6, 'measure': 4})"
224,36,53,551,403,108,"Counter({'sx': 251, 'rz': 182, 'cz': 108, 'x': 6, 'measure': 4})"
225,36,55,549,403,110,"Counter({'sx': 250, 'rz': 178, 'cz': 110, 'x': 7, 'measure': 4})"
226,36,57,546,397,108,"Counter({'sx': 251, 'rz': 178, 'cz': 108, 'x': 5, 'measure': 4})"
227,36,59,552,406,110,"Counter({'sx': 250, 'rz': 181, 'cz': 110, 'x': 7, 'measure': 4})"
228,36,63,545,397,108,"Counter({'sx': 251, 'rz': 176, 'cz': 108, 'x': 6, 'measure': 4})"
229,36,67,542,397,108,"Counter({'sx': 249, 'rz': 175, 'cz': 108, 'x': 6, 'measure': 4})"
230,36,69,549,402,108,"Counter({'sx': 250, 'rz': 181, 'cz': 108, 'x': 6, 'measure': 4})"
231,36,74,550,404,110,"Counter({'sx': 250, 'rz': 179, 'cz': 110, 'x': 7, 'measure': 4})"
232,36,77,544,395,106,"Counter({'sx': 251, 'rz': 178, 'cz': 106, 'x': 5, 'measure': 4})"
233,36,81,547,397,108,"Counter({'sx': 251, 'rz': 179, 'cz': 108, 'x': 5, 'measure': 4})"
234,36,82,544,398,108,"Counter({'sx': 250, 'rz': 176, 'cz': 108, 'x': 6, 'measure': 4})"
235,36,83,549,403,110,"Counter({'sx': 250, 'rz': 178, 'cz': 110, 'x': 7, 'measure': 4})"
236,36,84,550,404,110,"Counter({'sx': 250, 'rz': 179, 'cz': 110, 'x': 7, 'measure': 4})"
237,36,85,542,395,108,"Counter({'sx': 251, 'rz': 174, 'cz': 108, 'x': 5, 'measure': 4})"
238,36,93,546,394,106,"Counter({'sx': 251, 'rz': 180, 'cz': 106, 'x': 5, 'measure': 4})"
